ManagementPackId,WorkflowId,WorkflowType,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Balanced,Full,Notes
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationComponentDiscoveryRule,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentsGroup.Discovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReportingServicesDiscoveryRule.Server,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReportingServicesDiscoveryRule.Server,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReportingServicesDiscoveryRule.Server,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReportingServicesDiscoveryRule.Server,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBFilesDiscoveryRule,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBFilesDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AlertsScopeGroupSeedDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.PopulateSQLServersComputerGroup,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBFileGroupDiscoveryRule,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBFileGroupDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBEngineDiscoveryRule.Server,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBEngineDiscoveryRule.Server,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBEngineDiscoveryRule.Server,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.InstancesGroup.Discovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabasesGroup.Discovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentJobDiscoveryRule,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentJobDiscoveryRule,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,Frequency,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.IntegrationServicesDiscoveryRule.Server,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.IntegrationServicesDiscoveryRule.Server,Discovery,Frequency,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.SeedDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.SeedDiscovery,Discovery,Frequency,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseUserPolicyDiscoveryRule,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseUserPolicyDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.Monitor.AvailabilityDatabaseHealth.BackupStatus,UnitMonitor,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentDiscovery,Discovery,Frequency,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AnalysisServicesDiscoveryRule.Server,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AnalysisServicesDiscoveryRule.Server,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AnalysisServicesDiscoveryRule.Server,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AnalysisServicesDiscoveryRule.Server,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseDiscoveryRule,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseDiscoveryRule,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseDiscoveryRule,Discovery,ExcludeList,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DatabaseDiscoveryRule,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentJobDiscoveryRule,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.AgentJobDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.IntegrationServicesGroup.Discovery,Discovery,Enabled,bool,TRUE,FALSE,FALSE,FALSE,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBEngineDiscoveryRule.Server,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DbrDataSynchronizationState,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DbrDataSynchronizationState,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaRoleChanged,Rule,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaRoleChanged,Rule,Severity,int,1,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaRoleChanged,Rule,Priority,int,1,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.RedoneBytesPerSecond,Rule,Enabled,bool,TRUE,,,,
