ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_ISAPI_Messages_processing_rate_12_Rule,Rule,Perf Collection: SMS Dmp Isapi - Messages Dispatched/sec,Perf Collection: DMP ISAPI Messages processing Rate,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_auth_sinv.box_Backlog_18_Rule_secondary_site,Rule,Perf Collection: SMS Inbox - File Current Count on secondary site(auth\sinv.box),Perf Collection: Site Server Inbox auth\sinv.box Backlog on secondary site,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_auth_sinv.box_Backlog_18_Rule_secondary_site,Rule,Perf Collection: SMS Inbox - File Current Count on secondary site(auth\sinv.box),Perf Collection: Site Server Inbox auth\sinv.box Backlog on secondary site,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_auth_sinv.box_Backlog_18_Rule_secondary_site,Rule,Perf Collection: SMS Inbox - File Current Count on secondary site(auth\sinv.box),Perf Collection: Site Server Inbox auth\sinv.box Backlog on secondary site,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_auth_sinv.box_Backlog_18_Rule_secondary_site,Rule,Perf Collection: SMS Inbox - File Current Count on secondary site(auth\sinv.box),Perf Collection: Site Server Inbox auth\sinv.box Backlog on secondary site,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Number_of_completed_OMA_sessions,Rule,Perf Collection: SMS DM Proxy Engine - OMASessionsCompleted,This rule collects the number of completed on device management point,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Number_of_completed_OMA_sessions,Rule,Perf Collection: SMS DM Proxy Engine - OMASessionsCompleted,This rule collects the number of completed on device management point,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Number_of_completed_OMA_sessions,Rule,Perf Collection: SMS DM Proxy Engine - OMASessionsCompleted,This rule collects the number of completed on device management point,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Number_of_completed_OMA_sessions,Rule,Perf Collection: SMS DM Proxy Engine - OMASessionsCompleted,This rule collects the number of completed on device management point,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Web_Service_ISAPI_Extension_Requests_sec_17_Rule,Rule,Perf Collection: Web Service - ISAPI Extension Requests/sec (_Total),Perf Collection: Web Service (ISAPI Extension Requests/sec),Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Web_Service_ISAPI_Extension_Requests_sec_17_Rule,Rule,Perf Collection: Web Service - ISAPI Extension Requests/sec (_Total),Perf Collection: Web Service (ISAPI Extension Requests/sec),Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Web_Service_ISAPI_Extension_Requests_sec_17_Rule,Rule,Perf Collection: Web Service - ISAPI Extension Requests/sec (_Total),Perf Collection: Web Service (ISAPI Extension Requests/sec),MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Web_Service_ISAPI_Extension_Requests_sec_17_Rule,Rule,Perf Collection: Web Service - ISAPI Extension Requests/sec (_Total),Perf Collection: Web Service (ISAPI Extension Requests/sec),Frequency,int,900,,
