ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Job.object.associated.with.the.application.pool.encountered.an.error,Rule,Job object associated with the application pool encountered an error,Job object associated with the application pool encountered an error,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Job.object.associated.with.the.application.pool.encountered.an.error,Rule,Job object associated with the application pool encountered an error,Job object associated with the application pool encountered an error,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Job.object.associated.with.the.application.pool.encountered.an.error,Rule,Job object associated with the application pool encountered an error,Job object associated with the application pool encountered an error,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.Discovery.Rule,Discovery,Windows Server 2016 and 1709+ SMTP Server Discovery,"This rule runs on every IIS 10 Web Server and checks for the presence of the Windows Server 2016 and 1709+ SMTP Service. By default, this rule will only return discovery data if the startup type of the SMTP service is set to automatic. You can control this behavior using an override.",Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.Discovery.Rule,Discovery,Windows Server 2016 and 1709+ SMTP Server Discovery,"This rule runs on every IIS 10 Web Server and checks for the presence of the Windows Server 2016 and 1709+ SMTP Service. By default, this rule will only return discovery data if the startup type of the SMTP service is set to automatic. You can control this behavior using an override.",CheckStartupType,string,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.Discovery.Rule,Discovery,Windows Server 2016 and 1709+ SMTP Server Discovery,"This rule runs on every IIS 10 Web Server and checks for the presence of the Windows Server 2016 and 1709+ SMTP Service. By default, this rule will only return discovery data if the startup type of the SMTP service is set to automatic. You can control this behavior using an override.",IntervalSeconds,int,14400,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.NTService.CheckServiceState.Monitor,UnitMonitor,SMTP Service availability,SMTP Service availability,Enabled,bool,TRUE,FALSE,FALSE,,Reduced alerting for both Essentials and Balanced configurations
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.NTService.CheckServiceState.Monitor,UnitMonitor,SMTP Service availability,SMTP Service availability,CheckStartupType,string,,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,Rule,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,Rule,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,Rule,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,Rule,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Received/sec Performance Rule in Legacy SMTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesSentSec.Collection,Rule,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesSentSec.Collection,Rule,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesSentSec.Collection,Rule,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesSentSec.Collection,Rule,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Sent/sec Performance Rule in Legacy SMTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,Rule,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,Rule,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,Rule,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,Rule,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,SMTP Server\Bytes Total/sec Performance Rule in Legacy SMTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,Rule,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,Rule,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,Rule,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,Rule,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,SMTP Server\Inbound Connections Current Performance Rule in Legacy SMTP Server,Frequency,int,300,,,,
