ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,FileName,string,Vssvc.exe,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,IntervalSeconds,int,86400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,ParentPath,string,%windir%\System32,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,ExpectedVersion,string,6.0.6001.22308,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,FileName,string,qmgr.dll,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,IntervalSeconds,int,86400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,ParentPath,string,%windir%\System32,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate956774Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 956774,Monitors whether the VMM Hyper-V host update 956774 is installed,ExpectedVersion,string,7.0.6000.20899,
